M1,S1,PMd,PMv,SMA,SPL,A1
4.44145,3.0895,0.455585,1.81025,-0.43521,0.57184,0.32106
1.773,2.9072,-0.73742,0.99914,-0.95372,0.54299,-1.2311
3.2015,3.2042,-0.27595,1.1509,0.334495,0.71643,0.46389
2.9079,5.6288,2.43035,0.58594,0.96122,3.16405,1.43
4.7376,7.4085,0.74062,1.6669,0.79947,0.81114,-0.52638
2.7655,4.7725,0.40365,0.95762,1.0655,1.26275,1.56175
4.3825,7.8022,1.5856,1.9784,0.718875,1.4002,0.35041
6.1721,7.6817,1.9255,1.5497,1.03525,1.7346,0.55623
6.3427,5.5448,0.90905,1.8001,0.17534,2.10805,-0.169935
11.264,9.66425,1.7917,1.8929,1.3903,3.2369,2.0314
5.1865,2.4493,0.286965,1.4558,0.31725,2.2415,-0.73731
4.77185,4.53955,2.2502,3.2587,0.850415,1.9761,1.5558
7.3778,4.8625,1.0244,2.0727,0.28043,1.5858,1.0325
4.31325,4.1071,1.5044,2.03015,0.574255,1.9457,0.765025
10.479,8.677,0.97797,2.13945,1.22145,1.279,0.2497
2.549,3.8185,1.4412,1.6465,0.10802,1.38255,1.1033
2.0147,2.6681,0.71266,1.4092,0.96093,0.77123,0.202305
3.9246,5.3324,1.807,1.471,0.9304,1.5891,1.37815
